Sector 42,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","816,040","Laborers and Freight, Stock, and Material Movers, Hand","381,390","Stockers and Order Fillers","276,140","General and Operations Managers","266,990","Heavy and Tractor-Trailer Truck Drivers","258,040","Customer Service Representatives","180,370","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","159,500","Light Truck Drivers","154,710","Shipping, Receiving, and Inventory Clerks","140,490","Office Clerks, General","138,800",
Sectors 31,"Miscellaneous Assemblers and Fabricators","1,050,990","First-Line Supervisors of Production and Operating Workers","486,480","Laborers and Freight, Stock, and Material Movers, Hand","396,750","Inspectors, Testers, Sorters, Samplers, and Weighers","370,510","Packaging and Filling Machine Operators and Tenders","292,100","Welders, Cutters, Solderers, and Brazers","276,040","Machinists","262,700","General and Operations Managers","261,420","Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers","240,900","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","240,240",
Sector 23,"Construction Laborers","847,050","Carpenters","589,150","First-Line Supervisors of Construction Trades and Extraction Workers","562,290","Electricians","536,350","Plumbers, Pipefitters, and Steamfitters","350,200","Heating, Air Conditioning, and Refrigeration Mechanics and Installers","282,610","Operating Engineers and Other Construction Equipment Operators","266,170","General and Operations Managers","252,730","Office Clerks, General","244,670","Construction Managers","243,980",
Sector 22,"Electrical Power-Line Installers and Repairers","59,310","Customer Service Representatives","24,420","Power Plant Operators","23,210","Control and Valve Installers and Repairers, Except Mechanical Door","22,480","First-Line Supervisors of Mechanics, Installers, and Repairers","22,440","Electrical Engineers","19,270","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","15,450","General and Operations Managers","15,210","Water and Wastewater Treatment Plant and System Operators","15,110","First-Line Supervisors of Production and Operating Workers","12,080",
Sector 21,"Roustabouts, Oil and Gas","33,740","Service Unit Operators, Oil and Gas","32,670","Heavy and Tractor-Trailer Truck Drivers","31,320","First-Line Supervisors of Construction Trades and Extraction Workers","28,450","Operating Engineers and Other Construction Equipment Operators","22,920","General and Operations Managers","19,860","Excavating and Loading Machine and Dragline Operators, Surface Mining","16,790","Wellhead Pumpers","13,680","Industrial Machinery Mechanics","13,020","Continuous Mining Machine Operators","12,980",
Sector 11,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","210,970","Logging Equipment Operators","18,930","Packers and Packagers, Hand","15,940","Agricultural Equipment Operators","15,140","Heavy and Tractor-Trailer Truck Drivers","14,550","First-Line Supervisors of Farming, Fishing, and Forestry Workers","14,430","Farmworkers, Farm, Ranch, and Aquacultural Animals","12,670","Graders and Sorters, Agricultural Products","8,600","Office Clerks, General","7,230","Laborers and Freight, Stock, and Material Movers, Hand","6,970",
Local Government,"Police and Sheriff's Patrol Officers","557,660","Firefighters","279,050","Office Clerks, General","158,100","Correctional Officers and Jailers","149,960","Maintenance and Repair Workers, General","136,470","Court, Municipal, and License Clerks","116,410","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","114,190","First-Line Supervisors of Police and Detectives","105,460","Highway Maintenance Workers","99,350","Water and Wastewater Treatment Plant and System Operators","88,910",
State Government,"Correctional Officers and Jailers","182,010","Child, Family, and School Social Workers","67,440","Office Clerks, General","62,290","Management Analysts","57,730","Police and Sheriff's Patrol Officers","57,490","Eligibility Interviewers, Government Programs","56,130","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","54,310","Business Operations Specialists, All Other","51,990","Probation Officers and Correctional Treatment Specialists","45,730","Lawyers","45,540",
Federal Executive,"Business Operations Specialists, All Other","186,190","Registered Nurses","90,490","Computer Occupations, All Other","81,200","Managers, All Other","70,210","Management Analysts","68,590","Compliance Officers","61,870","Information and Record Clerks, All Other","50,710","Claims Adjusters, Examiners, and Investigators","42,650","Transportation Security Screeners","41,730","Detectives and Criminal Investigators","40,130",
Business,"Labor Relations Specialists","50,130","General and Operations Managers","37,670","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","21,640","Office Clerks, General","19,540","Public Relations Specialists","17,070","Business Operations Specialists, All Other","16,190","Maintenance and Repair Workers, General","16,110","Bookkeeping, Accounting, and Auditing Clerks","12,980","Security Guards","9,570","Customer Service Representatives","9,540",
