Nevada,"Transportation & Shipping","42,470","Business","41,090","Food & Beverage","39,170","Food & Beverage","37,300","Retail","36,510","Retail","35,320","Services","32,390","Services","29,820","Services","24,880","Health & Medical","23,970",
Nebraska,"Food & Beverage","25,270","Transportation & Shipping","24,470","Retail","22,940","Retail","21,340","Business","20,850","Health & Medical","19,870","Transportation & Shipping","17,370","Business","16,700","Services","16,590","Services","15,560",
Montana,"Food & Beverage","15,110","Retail","14,660","Retail","11,760","Services","11,440","Health & Medical","10,020","Business","9,320","Services","8,580","Retail","8,320","Care Servicies","8,300","Bookkeeping, Accounting, and Auditing Clerks","8,250",
Missouri,"Care Servicies","79,840","Business","73,400","Health & Medical","70,440","Retail","68,820","Retail","62,820","Retail","61,350","Services","54,780","Business","49,840","Transportation & Shipping","46,440","Services","45,010",
Mississippi,"Retail","33,990","Retail","33,260","Transportation & Shipping","30,170","Food & Beverage","29,990","Health & Medical","29,370","Business","25,250","Retail","24,670","Transportation & Shipping","23,780","Services","21,000","Services","19,750",
Minnesota,"Care Servicies","106,640","Business","73,910","Retail","66,830","Health & Medical","63,800","Services","58,340","Retail","57,760","Services","55,760","Food & Beverage","53,640","Transportation & Shipping","53,370","Retail","41,700",
Michigan,"Manufacturing & Wholesale","118,400","Food & Beverage","113,450","Retail","112,710","Health & Medical","101,470","Services","94,720","Retail","91,640","Business","87,240","Retail","85,210","Care Servicies","82,230","Services","82,200",
Massachusetts,"Business","119,850","Care Servicies","106,190","Health & Medical","94,100","Food & Beverage","86,230","Retail","81,180","Retail","69,560","Services","65,250","Software Developers","60,310","Services","51,540","Services","51,480",
Maryland,"Business","78,370","Retail","67,170","Retail","60,280","Food & Beverage","52,640","Health & Medical","49,790","Retail","48,660","Business","47,610","Services","47,110","Services","38,080","Transportation & Shipping","36,660",
Maine,"Retail","17,420","Care Servicies","16,050","Health & Medical","14,610","Retail","14,460","Business","12,890","Food & Beverage","12,880","Retail","12,070","Services","11,820","Services","10,030","Transportation & Shipping","9,910",
Louisiana,"Retail","58,890","Retail","49,310","Health & Medical","43,790","Business","38,910","Transportation & Shipping","37,540","Care Servicies","34,870","Business","33,900","Services","30,500","Services","30,320","Food & Beverage","29,730",
Kentucky,"Transportation & Shipping","57,340","Retail","50,090","Manufacturing & Wholesale","49,590","Business","48,190","Retail","46,490","Health & Medical","44,970","Retail","44,610","Food & Beverage","42,480","Services","35,830","Transportation & Shipping","28,210",
Kansas,"Food & Beverage","34,720","Retail","33,720","Services","32,920","Retail","30,800","Health & Medical","30,520","Retail","28,430","Business","27,720","Care Servicies","25,940","Business","24,550","Transportation & Shipping","22,970",
Iowa,"Retail","47,090","Transportation & Shipping","38,390","Business","36,100","Food & Beverage","35,810","Health & Medical","34,050","Retail","33,940","Transportation & Shipping","30,780","Services","29,580","Services","26,590","Services","26,380",
Indiana,"Transportation & Shipping","103,050","Food & Beverage","90,690","Manufacturing & Wholesale","88,620","Retail","83,760","Health & Medical","67,350","Services","66,510","Retail","65,410","Retail","58,440","Transportation & Shipping","56,350","Services","54,640",
Illinois,"Transportation & Shipping","204,710","Business","191,820","Retail","130,540","Health & Medical","129,390","Services","126,460","Retail","125,310","Food & Beverage","119,920","Services","114,990","Care Servicies","101,430","Retail","97,800",
